match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Jannik Vestergaard,3.0,CB,28-327,90,0,0,0,2,0,0,0,0,1,0,0,0,9,2,2,50.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Simon Kjær,4.0,CB,32-092,76,0,0,0,0,1,0,1,0,1,0,0,0,6,4,2,66.7
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Joachim Andersen,2.0,CB,25-026,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Andreas Christensen,6.0,"DM,CB",25-077,90,0,0,0,1,0,0,0,0,0,0,0,0,7,3,2,60.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Kasper Schmeichel,1.0,GK,34-233,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,16 Players,,,,990,0,0,0,9,13,1,23,10,4,0,0,0,82,23,20,53.5
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Andrea Belotti,9.0,FW,27-182,90,0,0,0,0,4,1,0,0,1,0,0,0,3,0,2,0.0
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Federico Chiesa,14.0,"RW,LW",23-238,90,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Federico Bernardeschi,20.0,"LW,RW",27-124,74,0,0,0,0,1,1,2,2,0,0,0,0,1,0,2,0.0
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Giacomo Raspadori,22.0,LW,21-122,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Marco Verratti,6.0,CM,28-227,90,0,0,0,1,3,0,2,2,3,0,0,0,10,1,1,50.0
