match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Att,PTLive,PTDead,PTFK,PTTB,PTPress,PTSw,PTCrs,PTCK,CKIn,CKOut,CKStr,Ground,Low,High,BPLeft,BPRight,BPHead,BPTI,BPOther,OutcomeCmp,OutcomeOff,OutcomeOut,OutcomeInt,OutcomeBlocks
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Yann Sommer,1.0,GK,32-197,120,58,43,15,5,0,7,3,0,0,0,0,0,15,4,39,7,40,0,0,3,36,0,2,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,17 Players,,,,1276,400,351,49,14,0,80,20,6,9,4,4,0,230,36,134,114,234,20,13,4,277,3,10,10,15
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Álvaro Morata,7.0,FW,28-252,54,21,20,1,0,0,5,2,0,0,0,0,0,16,1,4,2,18,0,0,0,18,0,0,1,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Gerard Moreno,9.0,"FW,RW",29-086,66,28,28,0,0,0,6,0,1,0,0,0,0,19,4,5,22,6,0,0,0,22,0,0,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Pablo Sarabia,22.0,"LW,RW",29-052,45,22,20,2,0,0,0,1,2,1,0,1,0,15,3,4,19,2,0,1,0,12,0,0,4,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Dani Olmo,19.0,LW,23-056,75,46,38,8,2,0,7,1,2,5,4,0,0,35,4,7,9,34,2,1,0,38,0,0,1,2
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Ferrán Torres,11.0,"RW,FW,LW",21-123,90,39,38,1,0,0,8,0,3,0,0,0,0,33,3,3,2,36,0,1,0,30,0,0,0,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Mikel Oyarzabal,21.0,RW,24-072,30,23,19,4,0,0,1,4,1,3,3,0,0,17,0,6,21,1,0,1,0,22,0,0,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Pedri,26.0,CM,18-219,118,91,87,4,1,0,8,3,0,0,0,0,0,77,6,8,12,76,2,1,0,85,0,0,2,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Rodri,16.0,CM,25-010,2,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Koke,8.0,CM,29-175,89,72,64,8,4,0,10,3,3,4,0,2,0,55,5,12,6,65,1,0,0,63,0,3,1,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Marcos Llorente,6.0,"CM,RB",26-153,31,17,16,1,0,0,1,0,4,0,0,0,0,13,2,2,0,16,0,1,0,16,0,0,1,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Sergio Busquets,5.0,DM,32-351,120,102,100,2,1,1,8,1,0,0,0,0,0,74,8,20,21,76,3,1,0,93,0,1,1,2
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Jordi Alba,18.0,LB,32-103,120,129,109,20,4,1,5,0,7,0,0,0,0,97,22,10,93,17,2,16,0,114,0,2,3,2
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Pau Torres,4.0,CB,24-167,112,150,148,2,2,0,8,4,0,0,0,0,0,138,5,7,115,32,2,0,0,143,0,0,2,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,a,Thiago Alcántara,10.0,"CM,CB",30-082,8,15,15,0,0,0,2,0,0,0,0,0,0,10,3,2,2,11,1,0,0,12,0,0,1,0
